,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX
Date,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-02,29.164566040039062,19.283000946044922,38.679054260253906,68.60713958740234,32.272499084472656,19.283000946044922,43.880001068115234,68.60713958740234,32.56999969482422,19.295000076293945,44.189998626708984,68.60713958740234,32.07500076293945,18.974000930786133,43.54999923706055,67.23428344726562,32.3125,19.042499542236328,43.66999816894531,67.71428680419922,192386800,42784000,31924000,10187100
2015-03-03,29.225574493408203,19.230499267578125,38.15016555786133,67.81571197509766,32.34000015258789,19.230499267578125,43.279998779296875,67.81571197509766,32.380001068115234,19.30500030517578,43.83000183105469,68.45714569091797,32.022499084472656,19.079999923706055,43.09000015258789,67.50714111328125,32.2400016784668,19.197500228881836,43.560001373291016,68.34428405761719,151265200,38930000,31748600,7426300
2015-03-04,29.040313720703125,19.13599967956543,37.956241607666016,67.11000061035156,32.1349983215332,19.13599967956543,43.060001373291016,67.11000061035156,32.38999938964844,19.395000457763672,43.209999084472656,67.92571258544922,32.08000183105469,19.109500885009766,42.880001068115234,66.18285369873047,32.275001525878906,19.285499572753906,43.0099983215332,67.52999877929688,126665200,45182000,25748700,17453800
2015-03-05,28.559093475341797,19.39150047302246,38.00031661987305,66.80714416503906,31.602500915527344,19.39150047302246,43.11000061035156,66.80714416503906,32.1875,19.42099952697754,43.2400016784668,67.46428680419922,31.440000534057617,19.194499969482422,42.81999969482422,66.41999816894531,32.14500045776367,19.280500411987305,43.06999969482422,67.42857360839844,226068400,53870000,23193500,11244800
2015-03-06,28.602012634277344,19.004499435424805,37.3392219543457,64.87428283691406,31.649999618530273,19.004499435424805,42.36000061035156,64.87428283691406,32.342498779296875,19.350000381469727,43.11000061035156,66.92571258544922,31.565000534057617,18.944000244140625,42.150001525878906,64.84428405761719,32.099998474121094,19.275999069213867,43.0,66.64286041259766,291368400,52540000,36248800,12888400
2015-03-09,28.724016189575195,18.92799949645996,37.77113342285156,63.66143035888672,31.78499984741211,18.92799949645996,42.849998474121094,63.66143035888672,32.39250183105469,18.96649932861328,43.130001068115234,65.09285736083984,31.264999389648438,18.763999938964844,42.189998626708984,62.82857131958008,31.989999771118164,18.920000076293945,42.189998626708984,64.98999786376953,354114000,46228000,32108000,18970700
2015-03-10,28.129833221435547,18.475500106811523,37.04832458496094,62.15142822265625,31.127500534057617,18.475500106811523,42.029998779296875,62.15142822265625,31.80500030517578,18.888500213623047,42.709999084472656,63.3514289855957,30.950000762939453,18.458999633789062,42.029998779296875,61.98285675048828,31.602500915527344,18.872499465942383,42.349998474121094,63.01571273803711,275426400,62420000,39159700,17947300
2015-03-11,27.616981506347656,18.318500518798828,37.00425720214844,62.88428497314453,30.559999465942383,18.318500518798828,41.97999954223633,62.88428497314453,31.1924991607666,18.667499542236328,42.369998931884766,63.939998626708984,30.52750015258789,18.312999725341797,41.84000015258789,62.2400016784668,31.1875,18.530500411987305,42.310001373291016,62.2400016784668,275756000,49902000,32215300,16363200
2015-03-12,28.11627769470215,18.711999893188477,36.15804672241211,64.04571533203125,31.112499237060547,18.711999893188477,41.02000045776367,64.04571533203125,31.225000381469727,18.774999618530273,41.650001525878906,64.58285522460938,30.407499313354492,18.375999450683594,40.86000061035156,63.34000015258789,30.577499389648438,18.44099998474121,41.33000183105469,63.34714126586914,193450800,56200000,59992500,14654500
2015-03-13,27.921985626220703,18.52899932861328,36.475379943847656,62.628570556640625,30.897499084472656,18.52899932861328,41.380001068115234,62.628570556640625,31.350000381469727,18.699499130249023,41.470001220703125,64.05714416503906,30.645000457763672,18.333999633789062,40.61000061035156,62.36714172363281,31.100000381469727,18.576000213623047,40.70000076293945,63.907142639160156,207309200,52234000,58007700,10161200
